step=27 | pc=0x0000006C | instr=0x09452223 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000184 | mem@0x00000184 rdata=0x00000000 | next_pc=0x00000070
step=28 | pc=0x00000070 | instr=0x0011BA33 | mn=sltu | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=0 Br=0 J=0 | alu=SLTU res=0x00000000 | wb=x20<-0x00000000 | next_pc=0x00000074
step=29 | pc=0x00000074 | instr=0x09452423 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000188 | mem@0x00000188 rdata=0x00000000 | next_pc=0x00000078
step=30 | pc=0x00000078 | instr=0x06452A83 | mn=lw | RegW=1 MemR=1 MemW=0 M2R=1 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000164 | mem@0x00000164 rdata=0x0000000A | wb=x21<-0x0000000A | next_pc=0x0000007C
step=31 | pc=0x0000007C | instr=0x02208A33 | mn=mul | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=0 Br=0 J=0 | alu=MUL res=0x00000015 | wb=x20<-0x00000015 | next_pc=0x00000080
step=32 | pc=0x00000080 | instr=0x01452023 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000100 | mem@0x00000100 rdata=0x00000000 | next_pc=0x00000084
step=33 | pc=0x00000084 | instr=0x02308A33 | mn=mul | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=0 Br=0 J=0 | alu=MUL res=0xFFFFFFDD | wb=x20<-0xFFFFFFDD | next_pc=0x00000088
step=34 | pc=0x00000088 | instr=0x01452223 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000104 | mem@0x00000104 rdata=0x00000000 | next_pc=0x0000008C
step=35 | pc=0x0000008C | instr=0x02318A33 | mn=mul | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=0 Br=0 J=0 | alu=MUL res=0x00000019 | wb=x20<-0x00000019 | next_pc=0x00000090
step=36 | pc=0x00000090 | instr=0x01452423 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000108 | mem@0x00000108 rdata=0x00000000 | next_pc=0x00000094
